BRAND NAME,ITEM NAME,TYPE,SPECS
AUTONICS,Buzzer,B2NB-B1D,24VDC
AUTONICS,Encoder,E40S6-2000-3-N-24,-
BROCO,Stop Contact,1 Phase,-
CKD,Manifold,M4GA2R-00-10,Manifold Solenoid 10 Station
CKD,Solenoid Valve,4GA219R-C6-E2-3,24 VDC - 5/2
CUSTOMIZE,Air Header,CUSTOMIZE,-
CUSTOMIZE,Bracket Gun,CUSTOMIZE,-
CUSTOMIZE,Bracket Pump,CUSTOMIZE,-
CUSTOMIZE,Cover Tank,CUSTOMIZE,20L Pail Can
CUSTOMIZE,Paint Tank,PT100L,Kapasitas 100L
DELTA,Cable Wiring,YSLY-JZ 6x0.5,Kabel isi 6
DELTA,Cable Wiring,YSLY-JZ 12x0.5,Kabel isi 12
DELTA,Cable Wiring,YSLY-JZ 20x0.5,Kabel isi 20
DELTA,Cable Wiring,YSLY-JZ 2x0.5,Kabel isi 2
FORT,Fuse,FLINK-2A,2A 500V~10kA
FORT,Fuse,FLINK-4A,4A 500V~10kA
FORT,Fuse,FLINK-6A,6A 500V~10kA
FORT,Fuse,FLINK-10A,10A 500V~10kA
FORT,Fuse,FLINK-16A,16A 500V~10kA
FORT,Fuse,FLINK-20A,20A 500V~10kA
FORT,Fuse,FLINK-25A,25A 500V~10kA
FORT,Fuse,FLINK-32A,32A 500V~10kA
FORT,Tower Lamp,AL50E-3M-31P2,24VDC with Buzzer
HANYOUNG,End Plate,HYBT-15-2,Terminal Separator for HYBT
HANYOUNG,Jumper,HYBT-13-20,Skun Jumper for HYBT
HANYOUNG,Terminal Block,HYBT-15A-2,15A 600V 1 Pole
HANYOUNG,Tower Lamp,TWBN24-3,24 VDC + RYG + BUZZER
IDEC,Emergency Button,YW1B-V4E01R,-
IDEC,Pilot Lamp,C3,A4
IDEC,Push Button,CONTOH,A4
IDEC,Selector Switch,YW1S-21E10,2 Position NO
IDEC,Selector Switch,YW4K-2AE10,Key Switch 2 Position NO
In-Lite,Lampu TL,TL T8 LED 18Watt - 60cm - Opal Type,Lampu Panel
INOVANCE,Servo Drive,SV670PS5R5I,-
INOVANCE,Servo Motor,MS1H4-75B30CB-A331R-EX d T5,7.5kW
KITZ,Ball Valve,SS 304 1/4 inch,-
KITZ,Ball Valve,SS 304 3/8 inch,-
KITZ,Ball Valve,SS 304 1/2 inch,-
KITZ,Ball Valve,SS 304 3/4 inch,-
KITZ,Ball Valve,SS 304 1 inch,-
KURAMO,Cable,FANC-110SBH,For CC-Link Communication
MITSUBISHI,Analog Output,FX3U-4DA-ADP,24VDC/15mA 0-10V/4-20mA(DC)
MITSUBISHI,CC Link,FX3U-16CCL,-
MITSUBISHI,Contactor,S-T10 200V,200V
MITSUBISHI,Contactor,S-T20 220V,200V
MITSUBISHI,EXT Output,FX2N-16EYR-ES,-
MITSUBISHI,HMI,GS2110-WTBD-N,-
MITSUBISHI,MCB,CP30-BA 2P 5A,5A 2 Poles
MITSUBISHI,MCB,CP30-BA 2P 3A,3A 2 Poles
MITSUBISHI,MCB,CP30-BA 2P 2A,2A 2 Poles
MITSUBISHI,MCB,CP30-BA 2P 10A,10A 2 Poles
MITSUBISHI,MCCB,NF63-SV 32A 2P,32A 2 Poles
MITSUBISHI,MCCB,NF32-SV 15A 2P,15A 2 Poles
MITSUBISHI,NET-Comm,FX3U-232-BD,Communication Module RS232
MITSUBISHI,NET-Comm,FX3U-485-BD,Communication Module RS485
MITSUBISHI,NET-Comm,FX3U-ENET-ADP,Communication Module Ethernet
MITSUBISHI,PLC,FX3U-64MR/ES,24VDC
MITSUBISHI,PLC,FX3U-80MR/ES,24VDC-RELAY
OMRON,Bracket Sensor,E39-L104,for E3Z-T61
OMRON,PLC,CP1E-E40SDR-A,100-240VAC IN24/OUT16 RELAY
OMRON,PLC,CP1E-N40S1DT-D,24VDC IN24/OUT16 TR-SINK
OMRON,Power Supply,S8VK-G24024,200VAC - 24VDC/10A
OMRON,Relay,MY2N-D2-GS,24VDC 2 Pole
OMRON,Relay,MY4N-D2-GS,24VDC 4 Pole
OMRON,Relay,G2R-2-S ND 24 S,24VDC
OMRON,Sensor Photoelectric,E3Z-T61,24VDC
OMRON,Socket Relay,P2RFZ-08-E,for Relay G2R-2-S
OMRON,Socket Relay,PYFZ-14,for Relay MY4N
Other,Busbar,with Isolation,for Neutral Phase
Other,Busbar,without Isolation,for Grounding
Other,Cable Duct,42mm x 65mm,-
Other,Cable Duct,35mm x 45mm,-
Other,Cable Wiring,AWG18-White,-
Other,Cable Wiring,AWG18-Red,-
Other,Cable Wiring,AWG18-Black,-
Other,Cable Wiring,AWG18-Blue,-
Other,Skun,1.25 x 3YS,Polos/Tanpa Cover
Other,Skun,SC4-5,-
Other,Skun,Ferrule 0.5mm - Blue,-
Other,Skun,Ferrule 0.5mm - White,-
SCHNEIDER,Fuse Disconnector,DF101 10x38mm,-
SCHNEIDER,MCB,Acti9 IC60N 3P 20A,"3Pole, 20A, B Curve, 6000A"
SMC,Air Filter,AF40-06D-A,-
SMC,Air Mist Separator,AFM40-06D-A,-
SMC,Air Regulator,AR30-03BG-A,-
SMC,Air Regulator,AW20-02BG,with Filter
SMC,Air Regulator,AW30-03BG-B,with Filter
SMC,Air Regulator,AR40-04BG-A,-
SMC,EP Regulator,ITV2050-313 CL,-
SMC,EP Regulator,ITV2050-013 CL,-
SMC,Master Valve,VPA 542-1-03A-F,-
SMC,Pressure Gauge,G36-2-01,-
SMC,Pressure Switch,ISE20-N-M-01-LB,-
SMC,Solenoid Valve,50-VFE3130-5T-02,Solenoid Valve Explosion Proof
WEINVIEW,HMI,MT8071iP,-
ASAHI SUNAC,SPRAY GUN,ESA400,Rotary Bell Gun
ASAHI SUNAC,SPRAY GUN,EAG100,Fan Width Type with Electrostatic 90kV
ASAHI SUNAC,SPRAY GUN,EAG1000,Fan Width Type with Electrostatic 90kV
ASAHI SUNAC,AIR CAP,A72,Standard Air Cap
ASAHI SUNAC,DIAPHRAGM PUMP,PD40,"Aluminium, 1:40"
CUSTOMIZE,Paint Tank,PT60L,Kapasitas 60L
HIMEL,MCB,HDB3wH-N-4-C,"6kA, 4 Pole, 32A"
CHINT,CONTACTOR,NXC-50,22kW 3P 220V
MITSUBISHI,PLC,FX3U-48MR/ES,220V Relay 24VDC
SCHNEIDER,MCB,Acti9 IC60N 3P 16A,"3 Pole, 20A, B Curve, 6000A"
SCHNEIDER,SURGE ARRESTER,A9L15688,iPF Surge Arrester PF40 3P+1N
SCHNEIDER,Pilot Lamp,XA2EVM4LC,Harmony Pilot Lamp 220VAC - Red
SCHNEIDER,Pilot Lamp,XA2EVM5LC,Harmony Pilot Lamp 220VAC - Yellow
SCHNEIDER,Pilot Lamp,XA2EVM3LC,Harmony Pilot Lamp 220VAC - Green
FORT,Terminal Block,TC-1004,4 Pole 100A
OMRON,Power Supply,S8FS-G15024CD,24VDC/6.5A 150W
SAGINOMIYA,Mechanical Pressure Switch,SNS-C110X,Range Press 0.1 - 1.0 MPa
FORT,Limit Switch,TZ-8108,Lever Type (Tuas)
FORT,Limit Switch,TZ-8111,Push Button Type (Tombol Tekan)
SANWAY,Magnetic Lock,ZX-213f,Magnetic Lock 24VDC
ASAHI SUNAC,Paint Hose,3445-1,5M - Metal Fitting - Double layered structure
ASAHI SUNAC,Paint Hose,3445,1M - Metal Fitting - Double layered structure
ASAHI SUNAC,Paint Hose,3445-2,10M - Metal Fitting - Double layered structure
NITTA MOORE,Paint Hose,TES-4-10?8,10mm x 8mm
NITTA MOORE,Paint Hose,TES-4-8x6,8mm x 6mm
NITTA MOORE,Paint Hose,TES-4-6x4,6mm x 4mm
NITTA MOORE,Paint Hose,TES-4-4x2.5,4mm x 2.5mm
ASAHI SUNAC,AOPR,MR70S,Max. Paint Press. : 0.7MPa
MITSUBISHI,PLC,FX5U-64MR/DS,Relay Output 24VDC 40W
PATLITE,Tower Lamp,LR5-302WJBW-RYG,Red - Yellow - Green
MITSUBISHI,HMI,GT-2103-PMBD,HMI Display 3 inch
KEYENCE,Flow Sensor,FDX-A1,-
SMC,Pressure Switch,IS10-01,Mechanical Type
TP-LINK,Switch/Hub,TL-SG1210P,Port Gigabit
NIHON SEIKI,Air Flow Switch,BN-1321-10,-
MITSUBISHI,Analog Input,FX5U-4AD-ADP,-
MITSUBISHI,Analog Output,FX5U-4DA-ADP,-
CUSTOMIZE,Box Panel,CUSTOMIZE 1,Cat Hijau (Luar) Cat Orange (Dalam)
IDEC,Push Button,YW1L-MF2E10Q4G,With Lamp Green 24VDC
CUSTOMIZE,Cable Wiring,AWG 18 - White,-
CUSTOMIZE,Cable Wiring,AWG 16 - Blue,-
Other,Cable Wiring,Grounding Cable 4mm - 100M,-
DPC,Bulkhead,PMM04,4mm - 4mm
DPC,Bulkhead,PMM06,6mm - 6mm
DPC,Bulkhead,PMM08,8mm - 8mm
DPC,Bulkhead,PMM10,10mm - 10mm
DPC,Bulkhead,PMM12,12mm - 12mm
DPC,Bulkhead,PMM16,16mm - 16mm
DPC,Union Straight,PUC04,4mm - 4mm
DPC,Union Straight,PUC06,6mm - 6mm
DPC,Union Straight,PUC08,8mm - 8mm
DPC,Union Straight,PUC10,10mm - 10mm
DPC,Union Straight,PUC12,12mm - 12mm
DPC,Union Straight,PUC14,14mm - 14mm
DPC,Union Straight,PUC16,16mm - 16mm
DPC,Union Elbow,PUL04,4mm - 4mm
DPC,Union Elbow,PUL06,6mm - 6mm
DPC,Union Elbow,PUL08,8mm - 8mm
DPC,Union Elbow,PUL10,10mm - 10mm
DPC,Union Elbow,PUL12,12mm - 12mm
DPC,Union Elbow,PUL14,14mm - 14mm
DPC,Union Elbow,PUL16,16mm - 16mm
DPC,Female Straight,PCF04-M5,4mm - M5x0.8
DPC,Female Straight,PCF04-01,4mm - RC1/8
DPC,Female Straight,PCF04-02,4mm - RC1/4
DPC,Female Straight,PCF04-03,4mm - RC3/8
DPC,Female Straight,PCF04-04,4mm - RC1/2
DPC,Female Straight,PCF06-M5,6mm - M5x0.8
DPC,Female Straight,PCF06-01,6mm - RC1/8
DPC,Female Straight,PCF06-02,6mm - RC1/4
DPC,Female Straight,PCF06-03,6mm - RC3/8
DPC,Female Straight,PCF08-01,8mm - RC1/8
DPC,Female Straight,PCF08-02,8mm - RC1/4
DPC,Female Straight,PCF08-03,8mm - RC3/8
DPC,Female Straight,PCF08-04,8mm - RC1/2
DPC,Female Straight,PCF10-01,10mm - RC1/8
DPC,Female Straight,PCF10-02,10mm - RC1/4
DPC,Female Straight,PCF10-03,10mm - RC3/8
DPC,Female Straight,PCF10-04,10mm - RC1/2
DPC,Female Straight,PCF12-01,12mm - RC1/8
DPC,Female Straight,PCF12-02,12mm - RC1/4
DPC,Female Straight,PCF12-03,12mm - RC3/8
DPC,Female Straight,PCF12-04,12mm - RC1/2
DPC,Female Straight,PCF14-03,14mm - RC3/8
DPC,Female Straight,PCF14-04,14mm - RC1/2
DPC,Female Straight,PCF16-03,16mm - RC3/8
DPC,Female Straight,PCF16-04,16mm - RC1/2
DPC,Male Elbow,PL04-M5,4mm - M5x0.8
DPC,Male Elbow,PL04-M6,4mm - M6x1
DPC,Male Elbow,PL04-01,4mm - RC1/8
DPC,Male Elbow,PL04-02,4mm - RC1/4
DPC,Male Elbow,PL04-03,4mm - RC3/8
DPC,Male Elbow,PL04-04,4mm - RC1/2
DPC,Male Elbow,PL06-M5,6mm - M5x0.8
DPC,Male Elbow,PL06-M6,6mm - M6x1
DPC,Male Elbow,PL06-01,6mm - RC1/8
DPC,Male Elbow,PL06-02,6mm - RC1/4
DPC,Male Elbow,PL06-03,6mm - RC3/8
DPC,Male Elbow,PL06-04,6mm - RC1/2
DPC,Male Elbow,PL08-01,8mm - RC1/8
DPC,Male Elbow,PL08-02,8mm - RC1/4
DPC,Male Elbow,PL08-03,8mm - RC3/8
DPC,Male Elbow,PL08-04,8mm - RC1/2
DPC,Male Elbow,PL10-01,10mm - RC1/8
DPC,Male Elbow,PL10-02,10mm - RC1/4
DPC,Male Elbow,PL10-03,10mm - RC3/8
DPC,Male Elbow,PL10-04,10mm - RC1/2
DPC,Male Elbow,PL12-01,12mm - RC1/8
DPC,Male Elbow,PL12-02,12mm - RC1/4
DPC,Male Elbow,PL12-03,12mm - RC3/8
DPC,Male Elbow,PL12-04,12mm - RC1/2
DPC,Male Elbow,PL14-03,14mm - RC3/8
DPC,Male Elbow,PL14-04,14mm - RC1/2
DPC,Male Elbow,PL16-03,16mm - RC3/8
DPC,Male Elbow,PL16-04,16mm - RC1/2
Other,Mata Bor (SS),4mm,untuk Stainless
Other,Mata Bor (SS),5mm,untuk Stainless
Other,Mata Bor (SS),6mm,untuk Stainless
Other,Mata Bor (SS),8mm,untuk Stainless
Other,Mata Bor (SS),10mm,untuk Stainless
Other,Mata Bor (SS),12mm,untuk Stainless
Other,Mata Bor (Beton),6mm,untuk Beton
Other,Mata Bor (Beton),8mm,untuk Beton
Other,Mata Bor (Beton),10mm,untuk Beton
Other,Mata Bor (Beton),12mm,untuk Beton
Other,Tap Drill,M3,-
Other,Tap Drill,M4x0.75,-
Other,Tap Drill,M5,-
Other,Tap Drill,M6,-
Other,Tap Drill,M8,-
Other,Tap Drill,M10,-
Other,Spring,Per Tarik - Baja,Kawat 3mm OD 20mm L 180mm
TRAYINDO,Duct Standart Type,SAS-SD-0505,W: 50mm; H: 50mm
DPC,Plug,PP04,Plug 4mm
DPC,Plug,PP06,Plug 6mm
DPC,Plug,PP08,Plug 8mm
DPC,Plug,PP10,Plug 10mm
DPC,Plug,PP12,Plug 12mm
CKD,Manifold,M4GA2R-00-04,Manifold Solenoid 4 Station
CKD,Manifold,M4GA2R-00-06,Manifold Solenoid 6 Station
